district,date,rainfall_mm,temperature_c,humidity_pct,sanitation_score,population_density,previous_cases,outbreak_label,district_encoded,week_of_year,rainfall_rolling,rainfall_anomaly
Cape Coast,2023-01-01,13.44994268345626,23.17339224343945,59.16562030209639,0.7163857421709094,485.5166205119616,23,0,1,52,13.44994268345626,0.0
Takoradi,2023-01-02,4.163577319716988,25.923401529324543,45.5035478030147,0.7978399120807648,124.3959871026098,24,0,3,1,8.806760001586625,-4.643182681869637
Tamale,2023-01-03,5.964353702629791,18.26436855235152,50.78140186874687,0.5403077025848009,805.1513523291179,20,0,4,1,7.85929123526768,-1.894937532637889
Takoradi,2023-01-04,12.787346789228131,20.141929807446743,49.960426279185015,0.9697842945125827,109.46190208748814,18,0,3,1,9.091305123757792,3.6960416654703394
Takoradi,2023-01-05,6.141987266962591,31.00206953972213,62.07267329398944,0.877566808722598,785.7009049397356,18,0,3,1,7.264316269634375,-1.1223290026717843
Kumasi,2023-01-06,0.8275525456206085,21.71552860514302,60.6934433703625,0.7933119591418314,903.9740444093104,20,0,2,1,6.43031007611028,-5.602757530489672
Tamale,2023-01-07,4.293510749262801,19.7654450865903,52.78262446662747,0.9142193354694954,489.55592895145503,18,0,4,1,6.012599337768533,-1.7190885885057323
Tamale,2023-01-08,4.666104285170075,27.68326376263643,61.76820872139398,0.5400933784060566,581.9882257880183,22,0,4,1,3.982288711754019,0.683815573416056
Tamale,2023-01-09,2.759372519614105,30.928520773314983,54.53319915412735,0.7384194388665621,529.2850533558884,17,0,4,2,3.1366350249168975,-0.3772625053027925
Takoradi,2023-01-10,6.667451519416961,28.594766553325336,57.283448896739465,0.8150465634308317,450.28775676109495,23,0,3,2,4.596609768365985,2.070841751050976
Cape Coast,2023-01-11,13.618384428812371,29.98023842902908,76.73452090298537,0.9143264530591446,898.6820818333242,22,0,1,2,6.927828188253378,6.690556240558993
Tamale,2023-01-12,12.989381065270589,21.216024557152696,73.40461051790348,0.8917347800246338,904.5401596029916,22,0,4,2,9.008647383278507,3.9807336819920813
Takoradi,2023-01-13,2.996821481518088,17.89094666629078,47.004187630724026,0.6385346248566999,402.2347281773811,21,0,3,2,9.068009623754502,-6.071188142236414
Kumasi,2023-01-14,0.6008935227589209,32.506668259777435,68.29732417879174,0.9704400847796022,653.5627786132281,12,0,2,2,7.551370124589992,-6.950476601831071
Cape Coast,2023-01-15,20.945869945603533,23.38660080578932,68.11396554491591,0.5621729207154351,934.2168059312776,30,0,1,2,9.383241503787783,11.56262844181575
Kumasi,2023-01-16,9.128590554092217,23.745834917724764,48.51736711247382,0.937566809310576,965.8526490472163,19,0,2,3,8.41804387599319,0.7105466780990266
Cape Coast,2023-01-17,0.665729798585317,31.640970709245288,68.1877764375486,0.9854701248023092,558.0631363798427,20,0,1,3,7.835270955259998,-7.169541156674681
Takoradi,2023-01-18,12.68153970481638,27.7811500470033,75.37931918412554,0.5885767616113128,507.5423247558941,16,0,3,3,10.855432500774363,1.8261072040420174
Accra,2023-01-19,10.197119656134316,27.27943886040804,48.77455193755586,0.8610330321018926,350.82488433567323,15,0,0,3,8.168244928407058,2.028874727727258
Cape Coast,2023-01-20,3.657756929843246,35.825011724505416,50.824971789857365,0.5201427593889992,962.984685871369,19,0,1,3,6.800536522344815,-3.1427795925015687
Kumasi,2023-01-21,4.473568934145375,21.782408848099287,70.17661466843502,0.7027114125695775,228.5328740255806,16,0,2,3,7.752496306234829,-3.2789273720894547
Takoradi,2023-01-22,2.545824217045068,29.639200640406187,62.71495310825648,0.758141649598837,621.8466184429525,22,0,3,3,5.218567434292001,-2.672743217246933
Cape Coast,2023-01-23,0.2815907462164689,25.285065624485423,65.51476275239523,0.7903226129548171,354.295240766775,19,0,1,4,2.7396852068125392,-2.45809446059607
Accra,2023-01-24,2.0413244315037056,26.342961394316283,63.40589216400497,0.9679686241242798,351.107461313017,21,0,0,4,2.3355770822276543,-0.2942526507239487
Accra,2023-01-25,8.119039555330893,32.64234213206266,63.90695920928144,0.8361253436470973,464.4717286385696,20,0,0,4,3.246944737524034,4.872094817806859
Tamale,2023-01-26,0.0232139203317144,27.53917878144812,46.73527871688917,0.7406389756096186,998.9136422340893,29,0,4,4,2.6162921633456957,-2.593078243013981
Tamale,2023-01-27,2.0285694829508434,27.691480395248163,70.47317706621448,0.9048375181329448,149.46967615583986,11,0,4,4,3.053036847529289,-1.0244673645784457
Kumasi,2023-01-28,2.5388904742733907,30.36253668654901,71.69589992427774,0.9752664104772044,620.6876363831783,16,0,2,4,3.1774283582217104,-0.6385378839483198
Cape Coast,2023-01-29,3.854415120619409,23.175236352285573,57.70609255931972,0.5110330743411454,174.31494223174946,19,0,1,4,2.1112722495438394,1.7431428710755696
Cape Coast,2023-01-30,12.619627380765207,20.803951663304968,59.56523050186138,0.9912606361280194,239.0687469914671,18,0,1,5,5.2603756146522125,7.359251766112995
Tamale,2023-01-31,2.1258855544539506,19.775954029894837,44.68892497444278,0.5430660695318401,495.6066475956088,20,0,4,5,5.28470463252799,-3.158819078074039
Cape Coast,2023-02-01,2.1305324297924764,15.16821705311999,65.14254756017834,0.9071933896343808,559.4141182117971,22,0,1,5,5.1826151214077605,-3.052082691615284
Cape Coast,2023-02-02,6.687544758327828,35.28103564970161,65.72057441714144,0.6401673762757063,332.9131675280716,16,0,1,5,5.890897530834867,0.7966472274929615
Accra,2023-02-03,3.009388867461697,19.483958171391585,59.37808983000689,0.5660898288769358,384.8114177869746,23,0,0,5,3.488337902508988,-0.4789490350472909
Tamale,2023-02-04,1.2719123685136269,23.89373188207114,71.24353359870503,0.7199278198569175,178.27031823033974,21,0,4,5,3.274844606023907,-2.0029322375102803
Takoradi,2023-02-05,3.011411752880776,23.6159335005554,56.6592276902006,0.8219782897238068,372.8978054598255,19,0,3,5,3.4950644367959818,-0.483652683915206
Tamale,2023-02-06,0.7590996096569352,26.537033489045506,65.646059258936,0.6904759225117375,969.9025954424897,21,0,4,6,2.0129531496282587,-1.2538535399713235
Takoradi,2023-02-07,0.9702725160404836,29.078686062696484,49.80335661307885,0.5272827041413495,950.2366435052336,17,0,3,6,1.5031740617729556,-0.5329015457324721
Accra,2023-02-08,3.4494402140140883,29.30236744179873,59.76447849125762,0.7997305698293583,401.3904611232865,13,0,0,6,2.0475560231480707,1.4018841908660176
Kumasi,2023-02-09,2.714381081280035,22.08461280715531,58.25645742097164,0.9512016380553374,613.7685426508854,23,0,2,6,1.9732983552478855,0.7410827260321495
Cape Coast,2023-02-10,12.316463676264064,24.164391431067944,62.25307922040942,0.6916076829736258,918.63585199985,20,0,1,6,4.862639371899668,7.453824304364396
Accra,2023-02-11,2.2501729151986414,26.412899752441497,56.304730711666416,0.6081663888154135,105.565440376807,19,0,0,6,5.182614471689207,-2.9324415564905655
Cape Coast,2023-02-12,4.34451191892636,23.756544369082263,58.68527404328332,0.7212886729664076,829.6152133038327,22,0,1,6,5.406382397917275,-1.0618704789909152
Kumasi,2023-02-13,5.00195386258924,33.03672788009996,68.26047171441506,0.5241813555243904,953.5325975100272,16,0,2,7,5.978275593244576,-0.9763217306553358
Kumasi,2023-02-14,0.0659047241282961,27.454874758191256,55.63235762761782,0.9102437922401374,182.19316090020132,18,0,2,7,2.9156358552106343,-2.849731131082338
Accra,2023-02-15,5.446340985179945,28.674388930249087,43.93422899261321,0.9131704054750932,245.30291742962893,20,0,0,7,3.71467787270596,1.731663112473985
Kumasi,2023-02-16,0.9802932009962412,28.314406343337065,77.4958390420542,0.7940002317148143,964.67167249422,10,0,2,7,2.8736231932234304,-1.8933299922271893
