district,date,rainfall_mm,temperature_c,humidity_pct,sanitation_score,population_density,previous_cases,outbreak_label
Cape Coast,2023-01-01,13.44994268345626,23.173392243439455,59.16562030209639,0.7163857421709094,485.5166205119616,23,0
Takoradi,2023-01-02,4.163577319716988,25.923401529324543,45.5035478030147,0.7978399120807648,124.3959871026098,24,0
Tamale,2023-01-03,5.964353702629791,18.264368552351517,50.78140186874687,0.5403077025848009,805.1513523291179,20,0
Takoradi,2023-01-04,12.787346789228131,20.141929807446743,49.960426279185015,0.9697842945125829,109.46190208748814,18,0
Takoradi,2023-01-05,6.141987266962591,31.00206953972213,62.07267329398944,0.877566808722598,785.7009049397356,18,0
Kumasi,2023-01-06,0.8275525456206085,21.71552860514302,60.6934433703625,0.7933119591418314,903.9740444093104,20,0
Tamale,2023-01-07,4.293510749262801,19.7654450865903,52.78262446662747,0.9142193354694954,489.55592895145503,18,0
Tamale,2023-01-08,4.666104285170075,27.68326376263643,61.76820872139398,0.5400933784060566,581.9882257880183,22,0
Tamale,2023-01-09,2.7593725196141055,30.928520773314986,54.533199154127345,0.7384194388665621,529.2850533558884,17,0
Takoradi,2023-01-10,6.667451519416961,28.594766553325336,57.283448896739465,0.8150465634308317,450.28775676109495,23,0
Cape Coast,2023-01-11,13.618384428812373,29.980238429029082,76.73452090298537,0.9143264530591446,898.6820818333242,22,0
Tamale,2023-01-12,12.989381065270587,21.216024557152696,73.40461051790348,0.8917347800246338,904.5401596029915,22,0
Takoradi,2023-01-13,2.9968214815180882,17.89094666629078,47.004187630724026,0.6385346248566999,402.2347281773811,21,0
Kumasi,2023-01-14,0.6008935227589209,32.506668259777435,68.29732417879174,0.9704400847796022,653.5627786132281,12,0
Cape Coast,2023-01-15,20.945869945603533,23.38660080578932,68.11396554491591,0.5621729207154351,934.2168059312777,30,0
Kumasi,2023-01-16,9.128590554092215,23.745834917724764,48.51736711247382,0.937566809310576,965.8526490472163,19,0
Cape Coast,2023-01-17,0.665729798585317,31.640970709245288,68.1877764375486,0.9854701248023092,558.0631363798427,20,0
Takoradi,2023-01-18,12.68153970481638,27.7811500470033,75.37931918412554,0.5885767616113128,507.54232475589413,16,0
Accra,2023-01-19,10.197119656134317,27.27943886040804,48.77455193755586,0.8610330321018926,350.82488433567323,15,0
Cape Coast,2023-01-20,3.657756929843246,35.825011724505416,50.824971789857365,0.5201427593889992,962.984685871369,19,0
Kumasi,2023-01-21,4.473568934145375,21.782408848099287,70.17661466843502,0.7027114125695775,228.5328740255806,16,0
Takoradi,2023-01-22,2.545824217045068,29.639200640406187,62.71495310825648,0.758141649598837,621.8466184429525,22,0
Cape Coast,2023-01-23,0.28159074621646896,25.285065624485423,65.51476275239523,0.7903226129548171,354.295240766775,19,0
Accra,2023-01-24,2.0413244315037056,26.342961394316283,63.40589216400497,0.9679686241242798,351.107461313017,21,0
Accra,2023-01-25,8.119039555330893,32.64234213206266,63.90695920928144,0.8361253436470973,464.47172863856963,20,0
Tamale,2023-01-26,0.023213920331714426,27.53917878144812,46.73527871688917,0.7406389756096186,998.9136422340891,29,0
Tamale,2023-01-27,2.0285694829508434,27.691480395248163,70.47317706621448,0.9048375181329447,149.46967615583986,11,0
Kumasi,2023-01-28,2.5388904742733907,30.36253668654901,71.69589992427774,0.9752664104772044,620.6876363831783,16,0
Cape Coast,2023-01-29,3.854415120619409,23.175236352285573,57.70609255931972,0.5110330743411454,174.31494223174946,19,0
Cape Coast,2023-01-30,12.619627380765209,20.803951663304968,59.56523050186138,0.9912606361280194,239.06874699146707,18,0
Tamale,2023-01-31,2.1258855544539506,19.775954029894834,44.68892497444278,0.5430660695318401,495.6066475956088,20,0
Cape Coast,2023-02-01,2.1305324297924764,15.16821705311999,65.14254756017834,0.9071933896343807,559.4141182117971,22,0
Cape Coast,2023-02-02,6.687544758327828,35.28103564970161,65.72057441714144,0.6401673762757063,332.9131675280716,16,0
Accra,2023-02-03,3.009388867461697,19.483958171391585,59.37808983000689,0.5660898288769358,384.8114177869746,23,0
Tamale,2023-02-04,1.2719123685136269,23.89373188207114,71.24353359870503,0.7199278198569175,178.27031823033974,21,0
Takoradi,2023-02-05,3.0114117528807753,23.615933500555396,56.659227690200595,0.8219782897238068,372.89780545982546,19,0
Tamale,2023-02-06,0.7590996096569352,26.537033489045506,65.646059258936,0.6904759225117375,969.9025954424897,21,0
Takoradi,2023-02-07,0.9702725160404837,29.078686062696484,49.80335661307885,0.5272827041413495,950.2366435052335,17,0
Accra,2023-02-08,3.4494402140140883,29.302367441798726,59.76447849125762,0.7997305698293583,401.3904611232865,13,0
Kumasi,2023-02-09,2.714381081280035,22.08461280715531,58.25645742097164,0.9512016380553374,613.7685426508854,23,0
Cape Coast,2023-02-10,12.316463676264064,24.164391431067944,62.25307922040942,0.6916076829736258,918.6358519998499,20,0
Accra,2023-02-11,2.2501729151986414,26.412899752441497,56.304730711666416,0.6081663888154135,105.565440376807,19,0
Cape Coast,2023-02-12,4.34451191892636,23.756544369082263,58.68527404328332,0.7212886729664076,829.6152133038327,22,0
Kumasi,2023-02-13,5.00195386258924,33.03672788009996,68.26047171441506,0.5241813555243904,953.5325975100271,16,0
Kumasi,2023-02-14,0.06590472412829614,27.454874758191256,55.63235762761782,0.9102437922401374,182.19316090020135,18,0
Accra,2023-02-15,5.446340985179945,28.674388930249087,43.93422899261321,0.9131704054750933,245.30291742962893,20,0
Kumasi,2023-02-16,0.9802932009962411,28.314406343337062,77.4958390420542,0.7940002317148143,964.6716724942199,10,0
Takoradi,2023-02-17,16.22999136136213,30.867369287426627,73.81454078690487,0.6765514444691947,583.7861292763116,26,0
Kumasi,2023-02-18,0.8047345215509004,25.905107793518535,47.07737304894381,0.8998916822228917,112.77697102455133,16,0
Cape Coast,2023-02-19,2.6775055726830344,18.515840260220767,66.89707805245195,0.7773435123941836,331.86879888717624,18,0
Cape Coast,2023-02-20,0.4460671882525157,26.998439758763208,54.97025229448657,0.912966154275008,504.9493068419737,24,0
Cape Coast,2023-02-21,28.840408075753796,21.743215531040853,62.634872153310596,0.8157293962915103,723.618019922291,11,0
Cape Coast,2023-02-22,3.4877343282911304,22.356916591251217,62.94224129013494,0.8922027366063987,759.8443403231196,19,0
Takoradi,2023-02-23,4.524096620444729,27.931820093775467,57.65592199683678,0.7992814966088799,995.8793616329104,17,0
Tamale,2023-02-24,0.34716025414127083,31.19141535716818,52.16234334413603,0.7070705341078332,358.7600794453831,26,0
Accra,2023-02-25,6.930681276079995,25.106357883680307,53.094589476837406,0.9789729299630687,584.3980916816276,24,0
Cape Coast,2023-02-26,1.178014191251316,26.544165062994818,50.83808084518758,0.7705569124394224,579.9911930736446,21,0
Kumasi,2023-02-27,11.416574284058152,33.51107472317619,51.681777917695555,0.8025447592702692,465.08073350251374,14,0
Cape Coast,2023-02-28,1.1479441408041666,26.203765897442842,59.328217099506446,0.6102438197073746,252.24570445817818,17,0
Kumasi,2023-03-01,1.0578521490440793,38.008415570901974,52.842400108892484,0.8128253947136382,979.7109068654582,23,0
Kumasi,2023-03-02,0.18617170928836083,27.82754822815772,66.8205206571262,0.7858038247414719,867.9854679999274,21,0
Cape Coast,2023-03-03,3.1939289664773196,16.19618620422091,74.87246155335927,0.5924191989735125,548.4997254648135,11,0
Takoradi,2023-03-04,4.1602205183809025,28.766708105522664,54.19946758629957,0.5297935486765719,642.9208804156268,19,0
Kumasi,2023-03-05,0.3398347008957824,26.90579192441389,62.39404500535377,0.8021796598573856,304.5349482036961,27,0
Kumasi,2023-03-06,7.470012967991861,31.448763770413727,64.99685110302934,0.8818461346751603,589.4083633525722,21,0
Cape Coast,2023-03-07,3.0191732514681084,28.36590675634979,64.72002270919275,0.7617006854610041,725.4731198093282,9,0
Kumasi,2023-03-08,3.7157882729629845,24.307720080081133,60.759552679160876,0.6133863126598229,563.6503255479299,17,0
Kumasi,2023-03-09,2.9059073589379016,18.878508818553172,67.42682418359722,0.8332609883465174,991.2566535264472,30,0
Cape Coast,2023-03-10,2.5604910063746065,23.954883713569874,64.82248952680658,0.5400528633048012,650.2074906229535,25,0
Cape Coast,2023-03-11,4.100817285689374,20.7473977289535,47.62337577672702,0.7209168524009772,433.87634133295217,20,0
Accra,2023-03-12,0.8435150338047774,22.097382750976386,68.69156064389273,0.5816833791992101,794.9368248542543,28,0
Takoradi,2023-03-13,1.0040254310431276,27.94289202210305,68.87290837266742,0.5922295255299417,253.41626042347784,22,0
Takoradi,2023-03-14,9.894746641480701,33.34952252175703,52.367138958214184,0.6011469745791018,446.0642323356399,20,0
Kumasi,2023-03-15,14.604558546323428,26.973357649114906,60.37937835447602,0.693353528521989,412.26305533982725,20,0
Takoradi,2023-03-16,2.3365109373756927,19.020584689824076,66.83328992811069,0.5255751028101988,488.6263855969995,21,0
Kumasi,2023-03-17,1.57865682846333,27.223013341100703,57.906861804206386,0.6988967204645491,803.6018433358537,22,0
Accra,2023-03-18,5.1641163254722855,30.983157433228257,70.72978047766011,0.7558537235573504,535.7557289470667,15,0
Cape Coast,2023-03-19,2.6274478380362316,21.95108547840309,83.6387249461936,0.7416471424831625,814.6130052393664,30,0
Cape Coast,2023-03-20,0.12857074366323515,24.32991416663541,52.140139673650175,0.6913920502015203,618.8400128258793,19,0
Cape Coast,2023-03-21,0.848918016497553,25.073440973645987,46.18955396846225,0.9195733040353762,407.8624911917998,21,0
Takoradi,2023-03-22,6.293416299265227,21.075508434588798,63.03818595604876,0.5726633462102521,828.9808693151252,19,0
Accra,2023-03-23,5.378248911587678,28.241402169219295,67.21562505126144,0.752848371890687,314.46070349778245,32,0
Takoradi,2023-03-24,0.13734928942220048,24.395259256961094,57.69133626155231,0.5310207084782772,301.94468181981597,18,0
Takoradi,2023-03-25,1.254964869333525,27.097662219535138,74.53260663321035,0.5355778394389549,554.0526316493522,16,0
Accra,2023-03-26,1.313807894754655,20.562539110989498,46.613942002767516,0.7869329248385482,334.76432136588005,16,0
Accra,2023-03-27,5.572073614139259,22.812708498382946,66.9291862303161,0.7830092124439105,108.1783314560947,20,0
Accra,2023-03-28,0.09953690646069702,28.611906789138857,53.94139179241107,0.9390167564222285,683.4677745689214,25,0
Accra,2023-03-29,0.549680293006864,23.135834239541165,77.19377906207296,0.7789368378300365,559.9844393251583,25,0
Cape Coast,2023-03-30,8.045092136481207,33.63481925616703,79.92515353168119,0.9798955102024252,500.9660330438451,20,0
Tamale,2023-03-31,0.9833885472589267,23.001819071926988,52.33343412216652,0.5243474241999648,970.2716631564838,25,0
Tamale,2023-04-01,5.2884954446028845,26.12342362875943,54.5044286409142,0.5490038423903705,614.0792655666223,16,0
Accra,2023-04-02,1.3602431110449762,29.662954159365448,68.59587886979801,0.5220329307851908,877.088420010446,24,0
Tamale,2023-04-03,0.5237001674243567,17.908171335334842,56.12869350210485,0.59263842516677,225.50521258464414,18,0
Tamale,2023-04-04,1.3930975820572364,16.19595594009612,59.54588782067762,0.770635055470839,612.285816816485,21,0
Accra,2023-04-05,6.405474065485159,17.371718427149524,60.2538842054241,0.822786090713714,881.1816640578126,28,0
Tamale,2023-04-06,9.679181687269647,31.31292051713591,40.80326843802344,0.5227925789743344,624.7951815519082,12,0
Takoradi,2023-04-07,8.866254999877821,22.240709270537767,59.86162253905763,0.9729854449227997,746.2127603143014,22,0
Kumasi,2023-04-08,2.5307124473754423,37.79099642834126,53.10272225935826,0.9210826883251906,434.83921103098663,19,0
Kumasi,2023-04-09,5.514383892022975,22.178762006713058,55.06877177600228,0.6483062410785465,183.20456533335994,33,0
Accra,2023-04-10,1.146967051644904,25.922756515985185,74.43632003468814,0.538593765113234,512.1102656143643,20,0
Cape Coast,2023-04-11,1.7346679430625842,32.71054976283938,47.434931057207436,0.5849435366095286,455.0314517549718,21,0
Accra,2023-04-12,11.332993143154521,35.03046444079561,68.13205186747977,0.5634722068774863,880.3541641410526,14,0
Cape Coast,2023-04-13,0.06543594198142501,35.30751788318199,57.21037069668191,0.5616418896494735,319.595772117225,18,0
Kumasi,2023-04-14,0.44693569815224565,31.041831152965713,57.202398315041656,0.7592808443328669,970.0608047815973,21,0
Accra,2023-04-15,1.165251401199076,30.120312629057313,67.90371896051711,0.6229237212467001,962.3243078240465,24,0
Takoradi,2023-04-16,0.13445267612158443,27.962634746005914,63.4005129456889,0.6790698582645722,322.8684787642948,18,0
Tamale,2023-04-17,1.0010150164513638,28.89180538083319,65.70612997219531,0.9947526666921612,413.24675992958845,16,0
Cape Coast,2023-04-18,4.373843643721833,22.244071418357333,69.68184660532862,0.8421571244626724,906.0001667864965,15,0
Tamale,2023-04-19,2.735931591839002,20.909005582888465,56.686916168166775,0.9744903335235007,969.9599988064967,15,0
Tamale,2023-04-20,11.159315104109137,24.98312771294524,53.87763265492249,0.5712782775165578,499.09519255243964,23,0
Accra,2023-04-21,8.503479515097393,24.149076887375358,49.148494734422016,0.6910697374162846,388.89734107680806,18,0
Tamale,2023-04-22,2.0913640258451602,22.733859753363625,51.74589470021045,0.7773659016411771,573.4846119263879,21,0
Takoradi,2023-04-23,1.5016312607363926,28.481937237283578,89.49094425308725,0.538379030944369,718.9922857291613,12,0
Tamale,2023-04-24,2.3876990405426888,29.776526042852552,72.44679580736786,0.5020937218139789,346.12706383748184,28,0
Accra,2023-04-25,4.461588750716526,25.442034431459238,46.489256337919784,0.8352171668984587,762.8258571571655,18,0
Takoradi,2023-04-26,1.5603085490763644,32.38765040527631,46.7754204325643,0.8209097584007177,146.49162140317694,23,0
Kumasi,2023-04-27,4.892811227735438,19.291554429332475,64.81866061718492,0.7053944049998059,144.3650434879748,22,0
Tamale,2023-04-28,2.633180196399056,24.03170270360141,65.47264797377967,0.7448220380160163,447.6589346309907,20,0
Accra,2023-04-29,4.0153368325742225,21.415888396985977,65.48883835317365,0.7077215002960449,418.12587285464855,19,0
Kumasi,2023-04-30,2.86462697545556,15.6673169146347,57.45044206446302,0.5120025224224445,384.069893830437,18,0
Kumasi,2023-05-01,1.7439998763116658,24.586596570786504,58.745457399970995,0.6676858031087312,541.917786402019,23,0
Cape Coast,2023-05-02,14.826336105761017,24.39126245808358,63.27879524159357,0.588541127698645,388.6602240804141,14,0
Takoradi,2023-05-03,7.211272518663181,32.567248716210656,60.858930062933304,0.5492120945506844,273.0321266212827,28,0
Tamale,2023-05-04,0.7547724906151043,28.154058422773886,37.80699627252465,0.9783602169446749,378.52259417974085,20,0
Accra,2023-05-05,10.142524638596619,19.879065878353977,57.70200369424806,0.7996798625210828,977.4138455292115,18,0
Cape Coast,2023-05-06,3.3416016483095823,34.27046283167094,51.485935657396865,0.8643281421183013,470.00207529536374,20,0
Takoradi,2023-05-07,11.247697451448717,31.105168477626766,61.75211418908512,0.6576818716330588,500.2414991725022,14,0
Cape Coast,2023-05-08,8.043572269649502,27.91048851734308,89.85259002603411,0.6965735647470076,618.890490956026,29,0
Takoradi,2023-05-09,2.7687830962930366,23.86757950575084,63.67481665474304,0.6184619969483618,985.0066915728039,16,0
Takoradi,2023-05-10,0.11362794738770057,20.202803816382602,56.86470313827602,0.5484828354827124,317.4411487921867,13,0
Tamale,2023-05-11,1.5645027388824335,23.138966119644735,69.21801501977252,0.5895158187207918,713.1538994791904,16,0
Takoradi,2023-05-12,3.900438778398981,30.44374309852093,64.82687887209212,0.8987570226482429,744.3862241875516,20,0
Cape Coast,2023-05-13,5.018486659672682,34.42293152967304,64.20094490451841,0.838772902591888,646.5919751137593,14,0
Takoradi,2023-05-14,1.4912733996446945,32.71621764136094,66.06850593215671,0.7734644379927385,179.72050567297967,20,0
Tamale,2023-05-15,0.7503720941535776,22.55575289106863,80.56543564829542,0.737544936433384,709.1850482448189,25,0
Tamale,2023-05-16,9.006935435811958,19.401912833554945,48.69111564674084,0.9612171418280622,157.68523993255792,24,0
Cape Coast,2023-05-17,20.80312081593617,25.70443123455602,64.73632076811454,0.5363674738893343,636.5283845949073,21,0
Kumasi,2023-05-18,3.7294727348604346,16.157803172185744,50.73618870018461,0.6403004066189579,765.6230594995684,19,0
Kumasi,2023-05-19,0.9417743183003696,26.615838570923906,65.55512646342248,0.674968926785357,289.8729015579554,22,0
Takoradi,2023-05-20,1.5893823586446643,24.261987068506656,50.81313488513906,0.8912129061063939,857.4598067884966,22,0
Accra,2023-05-21,0.09280943705383003,22.66981749065879,55.82633186394916,0.9962573100809857,127.31842497970383,27,0
Takoradi,2023-05-22,12.284442638467786,17.02648466366602,57.049100857620935,0.6203352573785765,859.4315772924755,12,0
Cape Coast,2023-05-23,0.626405219231015,27.568000532848583,69.7581671934471,0.9371536670685403,514.2961455784886,20,0
Cape Coast,2023-05-24,4.296203344340779,22.336495801690443,69.18454443942414,0.9153113802158956,295.82914593848005,17,0
Cape Coast,2023-05-25,1.6014066430139646,19.15041582144856,47.542826235536154,0.6123286988208834,220.40033049457122,22,0
Cape Coast,2023-05-26,4.039177577034926,10.638688933591753,60.54934110999849,0.6996662900996113,957.9764508241353,13,0
Cape Coast,2023-05-27,5.269443169930135,24.862425474746818,52.904201452508275,0.7048364346462596,165.39902882304102,17,0
Tamale,2023-05-28,8.8521959621118,33.86125798334872,47.414950893246655,0.9891103342632792,279.1840779423331,16,0
Kumasi,2023-05-29,1.1560126375226791,33.30629607273935,57.82982949575629,0.5904459506894492,413.04011268974136,16,0
Cape Coast,2023-05-30,0.05528364815848598,22.714518717068643,56.915172115441806,0.899578985552391,658.2113640650084,14,0
Accra,2023-05-31,0.7360403534369526,21.988939698191096,84.26716486345522,0.6670963570865549,590.3209767484885,21,0
Accra,2023-06-01,11.513857644265908,27.34387128037512,64.32959825360696,0.8654351728880803,213.0791431710826,18,0
Accra,2023-06-02,10.353006760265613,20.008072804058543,46.22382499245763,0.7100055021478314,360.7551853643932,18,0
Accra,2023-06-03,4.5492215509824625,26.50895949909733,54.352259958290574,0.78917988155827,314.87659397742163,15,0
Tamale,2023-06-04,4.5879185925267345,28.830401391923452,70.21383295429399,0.9163058866630656,292.18856904130723,18,0
Accra,2023-06-05,5.468671147037563,31.13466611942154,80.88442772869925,0.9020827824919421,470.02990283198835,16,0
Cape Coast,2023-06-06,0.9641101431927608,24.499229617600236,44.140166877620416,0.93321159176985,733.6283073324912,22,0
Takoradi,2023-06-07,12.291047803856507,23.98163124911517,41.20075614860955,0.5298086626723295,295.70763899551235,21,0
Accra,2023-06-08,2.7130481717315904,20.610087066217194,78.70965175371782,0.8460252765198724,430.0109917326833,22,0
Tamale,2023-06-09,2.4155539966393422,20.8655982298007,63.89614177370904,0.5699936883608814,451.82568415704606,26,0
Tamale,2023-06-10,3.658584663113405,23.867605540492367,51.31707268123634,0.7079092840092055,978.8108764918692,23,0
Accra,2023-06-11,0.24052332145988609,26.83682753408089,65.34629086122435,0.7742942075273442,959.199721191162,18,0
